,Category,Question
9,Economic Effects ,will china become superpower a fter covid
0,Having COVID ,why are zome peo9le as%m(tomwtic while others can be hJghly symptomatic with the covid
1,Having COVID ,why are some peoGle asymptEm7tio while others can be 4ighly sWmhtom9tic with the covid
2,Having COVID ,why are some people asymptomatic whle others can be highly ymptmaic wit the covi
3,Having COVID ,why are somMe people asymptomatic whiyle others can be highlwy symptomatic with the covKid
4,Having COVID ,why are some peolpe asypmtmoatci while others can be ihghly yspmtoamtic with the covid
5,Having COVID ,why are some peolpe asypmtmoatci while others can be ihghly yspmtoamtic with the covid
6,Having COVID ,why cost some people asymptomatic while others can be highly symptomatic with the covid
7,Having COVID ,why are people asymptomatic can be highly symptomatic the covid
8,Having COVID ,whi ate somes people asymptomatic while others can be highly symptomatic wich the covid
9,Having COVID ,why are so me people asymp tomatic while others can be highly symptomatic wi th the co vid
0,Having COVID ,how long doSs it take to $ecoveg
1,Having COVID ,how long do+s it take to rec4veB
2,Having COVID ,how lng does it tke to recover
3,Having COVID ,how %long does it Ytake to recover
4,Having COVID ,how long deos it take to recover
5,Having COVID ,how long deos it take to recover
6,Having COVID ,how long does information technology shoot to recover
7,Having COVID ,how long does it recover
8,Having COVID ,Haw long does it to to recover
9,Having COVID ,how l ong does it t ake to recover
0,Having COVID ,why cofid kills
1,Having COVID ,why covid bills
2,Having COVID ,why ovid kills
3,Having COVID ,why c3ovid kills
4,Having COVID ,why covdi kills
5,Having COVID ,why covdi kills
6,Having COVID ,why covid kills
7,Having COVID ,why kills
8,Having COVID ,why covid killes
9,Having COVID ,why cov id kills
0,Having COVID ,what lwstiJg health impact wiOl dovid have on those who recover from covid
1,Having COVID ,what lasting health imSact will c4vid have on those who 0ecoTer from covid
2,Having COVID ,what lasting health impact will coid have on those who rover fro covid
3,Having COVID ,what l#asti!ng health impact will covid have on those who reco5vebr from 1covid
4,Having COVID ,what lasting health impact iwll covid have on those who reocevr from cvoid
5,Having COVID ,what lasting health impact iwll covid have on those who reocevr from cvoid
6,Having COVID ,what lasting wellness impact will covid have on those who recover from covid
7,Having COVID ,what health impact will covid have those who recover from
8,Having COVID ,what lasting health impact will covid [[hve on thse who recorver from covid
9,Having COVID ,wh at lasting health impact w ill cov id have on those who recover from covid
0,Having COVID ,how lPng is the incubation tims for covid
1,Having COVID ,how lobg is the incubation time for cozid
2,Having COVID ,how long is the incubation tim for coid
3,Having COVID ,how long is the isnhcuba)tion tiQme for covid
4,Having COVID ,how long is the incubation tmie for ocvid
5,Having COVID ,how long is the incubation tmie for ocvid
6,Having COVID ,how long comprise the incubation clip for covid
7,Having COVID ,long is the incubation time covid
8,Having COVID ,ho long is the incubation time forth covid
9,Having COVID ,how l ong is the incubation ti me for covid
0,Having COVID ,do coviR effects last forever
1,Having COVID ,do covid effgc6s last forever
2,Having COVID ,do covid effects lst forever
3,Having COVID ,do covid effects laSst forever
4,Having COVID ,do covid effects last forveer
5,Having COVID ,do covid effects last forveer
6,Having COVID ,do covid effects lowest forever
7,Having COVID ,do effects last forever
8,Having COVID ,do covid effects lasth forever
9,Having COVID ,do co vid effects last forever
0,Having COVID ,had covid and rexov$red
1,Having COVID ,had coviU and recovered
2,Having COVID ,had covd and recovered
3,Having COVID ,had covid and Urecovewred
4,Having COVID ,had covid and recoevrde
5,Having COVID ,had covid and recoevrde
6,Having COVID ,had covid and recovered
7,Having COVID ,covid and recovered
8,Having COVID ,had covid am recovered
9,Having COVID ,had covid and recover ed
0,Having COVID ,how dovid affects the body
1,Having COVID ,how covid affects the bo9y
2,Having COVID ,how covid affects the bdy
3,Having COVID ,how covid baffectIs the body
4,Having COVID ,how cvoid affects the body
5,Having COVID ,how cvoid affects the body
6,Having COVID ,how covid affects the body
7,Having COVID ,how covid affects body
8,Having COVID ,how covid affects the bady
9,Having COVID ,how covid affects the b ody
0,Having COVID ,dhat is the rate of recovery froH the covid firus
1,Having COVID ,what is the r@te of reco2erT fro4 the covid virus
2,Having COVID ,what is the rate of recovr from the covi irus
3,Having COVID ,what is the rate of recovery frokm the covSid vicrus
4,Having COVID ,what is the rate of reocevry form the covid viurs
5,Having COVID ,what is the rate of reocevry form the covid viurs
6,Having COVID ,what is the charge per unit of recovery from the covid virus
7,Having COVID ,what the rate of recovery from covid
8,Having COVID ,what is the rate ofo recovery from athe covid virtus
9,Having COVID ,what is the r ate of recovery fr om the covid vi rus
0,Having COVID ,what xovid does
1,Having COVID ,what co!id does
2,Having COVID ,wat covid does
3,Having COVID ,Lwhat covid does
4,Having COVID ,what covid dose
5,Having COVID ,what covid dose
6,Having COVID ,what covid perform
7,Having COVID ,what does
8,Having COVID ,what covid dies
9,Having COVID ,what cov id does
0,Having COVID ,how covid k&lls
1,Having COVID ,how covRd kills
2,Having COVID ,how coid kills
3,Having COVID ,how covild kills
4,Having COVID ,how covdi kills
5,Having COVID ,how covdi kills
6,Having COVID ,how covid kills
7,Having COVID ,how covid
8,Having COVID ,have covid kills
9,Having COVID ,how c ovid kills
0,Individual Response ,what is your r(utinf for the coviV holidays
1,Individual Response ,what is your X$utine for the coNid holidays
2,Individual Response ,what is your routine for the covi holday
3,Individual Response ,what is your rToutiine for the covid hFolidaAys
4,Individual Response ,hwat is your orutien for the covid holidays
5,Individual Response ,hwat is your orutien for the covid holidays
6,Individual Response ,what is your subroutine for the covid holidays
7,Individual Response ,what is your for the holidays
8,Individual Response ,wath is your routine for e covid holidays
9,Individual Response ,what is yo ur r outine for the covid holidays
0,Individual Response ,is it saEe to t4avel right afYer the covid pandemic
1,Individual Response ,is it safe to travel right ajter the covif pa2_emic
2,Individual Response ,is it afe to travl right afer the covid pandemic
3,Individual Response ,is it safe to travel rigwht anfter the coEvid pandemic
4,Individual Response ,is it saef to rtavel right fater the covid pandemic
5,Individual Response ,is it saef to rtavel right fater the covid pandemic
6,Individual Response ,is information technology safe to travel flop after the covid pandemic
7,Individual Response ,is it to travel right covid pandemic
